Source,Target,Collaborations,Weight,Publication Type,Publication Name,Publication Date,Title,Co-authors,Keywords
immd0282,path0511,2,0.06896551724137931,Journal article|Journal article,Nature Immunology|Nature Immunology,19/02/2012|01/01/2012,The earliest thymic T cell progenitors sustain B cell and myeloid lineage potential.|The earliest thymic T cell progenitors sustain B cell and myeloid lineage potential,"Luc S,Luis TC,Boukarabila H,Macaulay IC,Buza-Vidas N,Bouriez-Jones T,Lutteropp M,Woll PS,Loughran SJ,Mead AJ,Hultquist A,Brown J,Mizukami T,Matsuoka S,Ferry H,Anderson K,Duarte S,Atkinson D,Soneji S,Domanski A,Farley A,Sanjuan-Pla A,Carella C,Patient R,de Bruijn M,Enver T,Nerlov C,Blackburn C,Godin I,Jacobsen SE|Luc S,Luis TC,Boukarabila H,Macaulay IC,Buza-Vidas N,Bouriez-Jones T,Lutteropp M,Woll PS,Loughran SJ,Mead AJ,Hultquist A,Brown J,Mizukami T,Matsuoka S,Ferry H,Anderson K,Duarte S,Atkinson D,Soneji S,Domanski A,Farley A,Sanjuan-Pla A,Carella C,Patient R,De Bruijn M,Enver T,Nerlov C,Blackburn C,Godin I,Jacobsen SEW","Animals,B-Lymphocytes,Cell Lineage,Cell Separation,Flow Cytometry,Hematopoietic Stem Cells,Lymphoid Progenitor Cells,Mice,Inbred C57BL,Transgenic,Myeloid Cells,Oligonucleotide Array Sequence Analysis,Precursor Cells,B-Lymphoid,Real-Time Polymerase Chain Reaction,T-Lymphocytes,Thymus Gland|"
clme0670,raob0047,5,0.675,Journal article|Journal article|Journal article|Journal article|Conference paper,"Radiotherapy and Oncology|Cancer Research|Clinical Cancer Research|Radiotherapy and Oncology|Strahlentherapie und Onkologie: Zeitschrift fuer Radiologie, Strahlenbiologie, Strahlenphysik",13/03/2014|22/11/2011|07/11/2011|01/04/2014|01/07/2014,Regulation of O2 consumption by the PI3K and mTOR pathways contributes to tumor hypoxia.|Dual inhibition of the PI3K/mTOR pathway increases tumor radiosensitivity by normalizing tumor vasculature.|Modulation of the tumor microvasculature by phosphoinositide-3 kinase inhibition increases doxorubicin delivery in vivo.|Regulation of O<inf>2</inf> consumption by the PI3K and mTOR pathways contributes to tumor hypoxia|The PI3K/mTOR pathway regulates tumor O-2 consumption and hypoxia,"Kelly CJ,Hussien K,Fokas E,Kannan P,Shipley RJ,Ashton TM,Stratford M,Pearson N,Muschel RJ|Fokas E,Im JH,Hill S,Yameen S,Stratford M,Beech J,Hackl W,Maira SM,Bernhard EJ,McKenna WG,Muschel RJ|Qayum N,Im J,Stratford MR,Bernhard EJ,McKenna WG,Muschel RJ|Kelly CJ,Hussien K,Fokas E,Kannan P,Shipley RJ,Ashton TM,Stratford M,Pearson N,Muschel RJ|Kelly C,Fokas E,Hussien K,Kannan P,Shipley R,Ashton T,Stratford M,Pearson N,Muschel R","Cell Line,Tumor,HCT116 Cells,Spheroids,Cellular,Animals,Humans,Mice,Neoplasms,Aminopyridines,Imidazoles,Morpholines,Quinolines,Protein Kinase Inhibitors,Signal Transduction,Cell Hypoxia,Oxygen Consumption,Phosphatidylinositol 3-Kinase,TOR Serine-Threonine Kinases|Animals,Dose-Response Relationship,Drug,Humans,Mice,Neoplasms,Experimental,Neovascularization,Pathologic,Phosphatidylinositol 3-Kinases,Radiation Tolerance,TOR Serine-Threonine Kinases,Xenograft Model Antitumor Assays|Animals,Anoxia,Doxorubicin,Drug Delivery Systems,Female,Humans,Immunoenzyme Techniques,Indazoles,Mammary Neoplasms,Animal,Mice,Nude,Transgenic,Microvessels,Neovascularization,Pathologic,Phosphatidylinositol 3-Kinases,Sulfonamides||"
card0027,immd0198,2,0.049174311926605506,Journal article|Journal article,Nature Genetics|Journal of Biological Chemistry,18/05/2015|23/10/2015,"Factors influencing success of clinical genome sequencing across a broad spectrum of disorders.|Resistance of Dynamin-related Protein 1 Oligomers to Disassembly Impairs Mitophagy, Resulting in Myocardial Inflammation and Heart Failure.","Taylor JC,Martin HC,Lise S,Broxholme J,Cazier JB,Rimmer A,Kanapin A,Lunter G,Fiddy S,Allan C,Aricescu AR,Attar M,Babbs C,Becq J,Beeson D,Bento C,Bignell P,Blair E,Buckle VJ,Bull K,Cais O,Cario H,Chapel H,Copley RR,Cornall R,Craft J,Dahan K,Davenport EE,Dendrou C,Devuyst O,Fenwick AL,Flint J,Fugger L,Gilbert RD,Goriely A,Green A,Greger IH,Grocock R,Gruszczyk AV,Hastings R,Hatton E,Higgs D,Hill A,Holmes C,Howard M,Hughes L,Humburg P,Johnson D,Karpe F,Kingsbury Z,Kini U,Knight JC,Krohn J,Lamble S,Langman C,Lonie L,Luck J,McCarthy D,McGowan SJ,McMullin MF,Miller KA,Murray L,Németh AH,Nesbit MA,Nutt D,Ormondroyd E,Oturai AB,Pagnamenta A,Patel SY,Percy M,Petousi N,Piazza P,Piret SE,Polanco-Echeverry G,Popitsch N,Powrie F,Pugh C,Quek L,Robbins PA,Robson K,Russo A,Sahgal N,van Schouwenburg PA,Schuh A,Silverman E,Simmons A,Sørensen PS,Sweeney E,Taylor J,Thakker RV,Tomlinson I,Trebes A,Twigg SR,Uhlig HH,Vyas P,Vyse T,Wall SA,Watkins H,Whyte MP,Witty L,Wright B,Yau C,Buck D,Humphray S,Ratcliffe PJ,Bell JI,Wilkie AO,Bentley D,Donnelly P,McVean G|Cahill TJ,Leo V,Kelly M,Stockenhuber A,Kennedy NW,Bao L,Cereghetti G,Harper AR,Czibik G,Lao C,Bellahcene M,Steeples V,Ghaffari S,Yavari A,Mayer A,Poulton J,Ferguson DJ,Scorrano L,Hettiarachchi NT,Peers C,Boyle J,Hill RB,Simmons A,Watkins H,Dear TN,Ashrafian H","Humans,Genetic Diseases,Inborn,Molecular Diagnostic Techniques,Sensitivity and Specificity,DNA Mutational Analysis,Base Sequence,Polymorphism,Single Nucleotide,Genome,Human,Molecular Sequence Annotation,High-Throughput Nucleotide Sequencing|Cells,Cultured,Animals,Mice,Myocarditis,Biopolymers,Dynamins,Oxidative Phosphorylation,Mutation,Heart Failure,Mitochondrial Degradation"
immd0082,path0084,1,0.009174311926605505,Journal article,Nature Genetics,18/05/2015,Factors influencing success of clinical genome sequencing across a broad spectrum of disorders.,"Taylor JC,Martin HC,Lise S,Broxholme J,Cazier JB,Rimmer A,Kanapin A,Lunter G,Fiddy S,Allan C,Aricescu AR,Attar M,Babbs C,Becq J,Beeson D,Bento C,Bignell P,Blair E,Buckle VJ,Bull K,Cais O,Cario H,Chapel H,Copley RR,Cornall R,Craft J,Dahan K,Davenport EE,Dendrou C,Devuyst O,Fenwick AL,Flint J,Fugger L,Gilbert RD,Goriely A,Green A,Greger IH,Grocock R,Gruszczyk AV,Hastings R,Hatton E,Higgs D,Hill A,Holmes C,Howard M,Hughes L,Humburg P,Johnson D,Karpe F,Kingsbury Z,Kini U,Knight JC,Krohn J,Lamble S,Langman C,Lonie L,Luck J,McCarthy D,McGowan SJ,McMullin MF,Miller KA,Murray L,Németh AH,Nesbit MA,Nutt D,Ormondroyd E,Oturai AB,Pagnamenta A,Patel SY,Percy M,Petousi N,Piazza P,Piret SE,Polanco-Echeverry G,Popitsch N,Powrie F,Pugh C,Quek L,Robbins PA,Robson K,Russo A,Sahgal N,van Schouwenburg PA,Schuh A,Silverman E,Simmons A,Sørensen PS,Sweeney E,Taylor J,Thakker RV,Tomlinson I,Trebes A,Twigg SR,Uhlig HH,Vyas P,Vyse T,Wall SA,Watkins H,Whyte MP,Witty L,Wright B,Yau C,Buck D,Humphray S,Ratcliffe PJ,Bell JI,Wilkie AO,Bentley D,Donnelly P,McVean G","Humans,Genetic Diseases,Inborn,Molecular Diagnostic Techniques,Sensitivity and Specificity,DNA Mutational Analysis,Base Sequence,Polymorphism,Single Nucleotide,Genome,Human,Molecular Sequence Annotation,High-Throughput Nucleotide Sequencing"
molb0003,raob0051,1,0.125,Journal article,BMC Research Notes,01/12/2015,A prospective pilot study of detection of sentinel lymph nodes in gynaecological cancers using a novel near infrared fluorescence imaging system.,"Laios A,Volpi D,Tullis ID,Woodward M,Kennedy S,Pathiraja PN,Haldar K,Vojnovic B,Ahmed AA","Humans,Genital Neoplasms,Female,Indocyanine Green,Fluorescent Dyes,Spectroscopy,Near-Infrared,Sentinel Lymph Node Biopsy,Spectrometry,Fluorescence,Prospective Studies,Pilot Projects"
clme0220,clme0497,1,0.06666666666666667,Journal article,Oncogene,,The BET inhibitor JQ1 selectively impairs tumour response to hypoxia and downregulates CA9 and angiogenesis in triple negative breast cancer.,"da Motta LL,Ledaki I,Purshouse K,Haider S,De Bastiani MA,Baban D,Morotti M,Steers G,Wigfield S,Bridges E,Li JL,Knapp S,Ebner D,Klamt F,Harris AL,McIntyre A",
card0027,immd0082,1,0.009174311926605505,Journal article,Nature Genetics,18/05/2015,Factors influencing success of clinical genome sequencing across a broad spectrum of disorders.,"Taylor JC,Martin HC,Lise S,Broxholme J,Cazier JB,Rimmer A,Kanapin A,Lunter G,Fiddy S,Allan C,Aricescu AR,Attar M,Babbs C,Becq J,Beeson D,Bento C,Bignell P,Blair E,Buckle VJ,Bull K,Cais O,Cario H,Chapel H,Copley RR,Cornall R,Craft J,Dahan K,Davenport EE,Dendrou C,Devuyst O,Fenwick AL,Flint J,Fugger L,Gilbert RD,Goriely A,Green A,Greger IH,Grocock R,Gruszczyk AV,Hastings R,Hatton E,Higgs D,Hill A,Holmes C,Howard M,Hughes L,Humburg P,Johnson D,Karpe F,Kingsbury Z,Kini U,Knight JC,Krohn J,Lamble S,Langman C,Lonie L,Luck J,McCarthy D,McGowan SJ,McMullin MF,Miller KA,Murray L,Németh AH,Nesbit MA,Nutt D,Ormondroyd E,Oturai AB,Pagnamenta A,Patel SY,Percy M,Petousi N,Piazza P,Piret SE,Polanco-Echeverry G,Popitsch N,Powrie F,Pugh C,Quek L,Robbins PA,Robson K,Russo A,Sahgal N,van Schouwenburg PA,Schuh A,Silverman E,Simmons A,Sørensen PS,Sweeney E,Taylor J,Thakker RV,Tomlinson I,Trebes A,Twigg SR,Uhlig HH,Vyas P,Vyse T,Wall SA,Watkins H,Whyte MP,Witty L,Wright B,Yau C,Buck D,Humphray S,Ratcliffe PJ,Bell JI,Wilkie AO,Bentley D,Donnelly P,McVean G","Humans,Genetic Diseases,Inborn,Molecular Diagnostic Techniques,Sensitivity and Specificity,DNA Mutational Analysis,Base Sequence,Polymorphism,Single Nucleotide,Genome,Human,Molecular Sequence Annotation,High-Throughput Nucleotide Sequencing"
card0027,immd0330,1,0.009174311926605505,Journal article,Nature Genetics,18/05/2015,Factors influencing success of clinical genome sequencing across a broad spectrum of disorders.,"Taylor JC,Martin HC,Lise S,Broxholme J,Cazier JB,Rimmer A,Kanapin A,Lunter G,Fiddy S,Allan C,Aricescu AR,Attar M,Babbs C,Becq J,Beeson D,Bento C,Bignell P,Blair E,Buckle VJ,Bull K,Cais O,Cario H,Chapel H,Copley RR,Cornall R,Craft J,Dahan K,Davenport EE,Dendrou C,Devuyst O,Fenwick AL,Flint J,Fugger L,Gilbert RD,Goriely A,Green A,Greger IH,Grocock R,Gruszczyk AV,Hastings R,Hatton E,Higgs D,Hill A,Holmes C,Howard M,Hughes L,Humburg P,Johnson D,Karpe F,Kingsbury Z,Kini U,Knight JC,Krohn J,Lamble S,Langman C,Lonie L,Luck J,McCarthy D,McGowan SJ,McMullin MF,Miller KA,Murray L,Németh AH,Nesbit MA,Nutt D,Ormondroyd E,Oturai AB,Pagnamenta A,Patel SY,Percy M,Petousi N,Piazza P,Piret SE,Polanco-Echeverry G,Popitsch N,Powrie F,Pugh C,Quek L,Robbins PA,Robson K,Russo A,Sahgal N,van Schouwenburg PA,Schuh A,Silverman E,Simmons A,Sørensen PS,Sweeney E,Taylor J,Thakker RV,Tomlinson I,Trebes A,Twigg SR,Uhlig HH,Vyas P,Vyse T,Wall SA,Watkins H,Whyte MP,Witty L,Wright B,Yau C,Buck D,Humphray S,Ratcliffe PJ,Bell JI,Wilkie AO,Bentley D,Donnelly P,McVean G","Humans,Genetic Diseases,Inborn,Molecular Diagnostic Techniques,Sensitivity and Specificity,DNA Mutational Analysis,Base Sequence,Polymorphism,Single Nucleotide,Genome,Human,Molecular Sequence Annotation,High-Throughput Nucleotide Sequencing"
immd0330,phpc0367,2,1.0,Journal article|Journal article,Pharmacogenomics|The Patient: Patient Centered Outcomes Research,01/11/2013|,Issues surrounding the health economic evaluation of genomic technologies.|Patients' Preferences for Genomic Diagnostic Testing in Chronic Lymphocytic Leukaemia: A Discrete Choice Experiment.,"Buchanan J,Wordsworth S,Schuh A|Buchanan J,Wordsworth S,Schuh A","Cost-Benefit Analysis,Genomics,Humans,Technology|"
clab0127,immd0180,1,0.058823529411764705,Journal article,Cancer Cell,,Inhibiting WEE1 Selectively Kills Histone H3K36me3-Deficient Cancers by dNTP Starvation.,"Pfister SX,Markkanen E,Jiang Y,Sarkar S,Woodcock M,Orlando G,Mavrommati I,Pai CC,Zalmas LP,Drobnitzky N,Dianov GL,Verrill C,Macaulay VM,Ying S,La Thangue NB,D'Angiolella V,Ryan AJ,Humphrey TC","Cell Line,Tumor,Animals,Mice,Inbred BALB C,Humans,Nude,Neoplasms,Pyrazoles,Pyrimidines,Ribonucleoside Diphosphate Reductase,Histone-Lysine N-Methyltransferase,Nucleotides,Lysine,Cell Cycle Proteins,Nuclear Proteins,Histones,Blotting,Western,Xenograft Model Antitumor Assays,Reverse Transcriptase Polymerase Chain Reaction,Cell Survival,Gene Expression Regulation,Neoplastic,RNA Interference,Amino Acid Sequence,Base Sequence,Sequence Homology,Amino Acid,Nucleic Acid,Methylation,Molecular Sequence Data,Protein-Tyrosine Kinases"
clme0237,immd0330,11,0.6882094815500104,Conference paper|Conference paper|Journal article|Conference paper|Conference paper|Conference paper|Journal article|Conference paper|Journal article|Journal article|Journal article,Blood|Annals of Oncology|Leukemia|Blood|Blood|Blood|Blood|Blood|Blood|Nature Genetics|Blood,16/11/2012|01/06/2012|01/01/2012|16/11/2012|06/12/2014|06/12/2014|22/08/2012|06/12/2014|12/12/2013|18/05/2015|27/08/2015,"SAMHD1, A Putative Tumour Suppressor, Is Recurrently Mutated in Chronic Lymphocytic Leukaemia, and Is Associated with Poor Risk Features|CLINICAL DIAGNOSTIC IMPLEMENTATION OF AN INNOVATIVE CANCER CARE MODEL BASED ON COMPREHENSIVE MOLECULAR PROFILING OF TUMOUR-NORMAL PAIRS|Quantification of subclonal distributions of recurrent genomic aberrations in paired pre-treatment and relapse samples from patients with B-cell chronic lymphocytic leukemia.|Targeted Gene Profiling Identifies Differential Genetic Make-up Depending On Chronic Lymphocytic Leukaemia Subtype|Mutational Landscape of 118 Relapsed Chronic Lymphocytic Leukemia Clinical Trial Samples; Evidence for a Multiple-Hit Profile Using Targeted Next Generation Sequencing|Whole Genome Sequencing, Targeted Deep Sequencing and Copy-Number Analysis Provide a Comprehensive Picture of the Mutational Landscape of 41 Clinically Annotated CLL Cases|Monitoring chronic lymphocytic leukemia progression by whole genome sequencing reveals heterogeneous clonal evolution patterns.|Towards Response Prediction Using Integrated Genomics in Chronic Lymphocytic Leukaemia: Results on 250 First-Line FCR Treated Patients from UK Clinical Trials|SAMHD1 is mutated recurrently in chronic lymphocytic leukemia and is involved in response to DNA damage.|Factors influencing success of clinical genome sequencing across a broad spectrum of disorders.|Presence of multiple recurrent mutations confers poor trial outcome of relapsed/refractory CLL.","Clifford R,Ackroyd S,Burns A,Timbs A,Maelfait J,Dreau H,Henderson S,Ross M,Bentley D,Hillmen P,Knight S,Taylor J,Hatton CSR,Rehwinkel J,Crow Y,Schuh A|Kaur K,Henderson S,Cutts A,Domingo E,Woods J,Motley C,Dougherty B,Middleton M,Hassan B,Wang Y,Beasley E,Naley M,Schuh A,Tomlinson I,Taylor J|Knight SJ,Yau C,Clifford R,Timbs AT,Sadighi Akha E,Dréau HM,Burns A,Ciria C,Oscier DG,Pettitt AR,Dutton S,Holmes CC,Taylor J,Cazier JB,Schuh A|Burns A,Clifford R,Dreau H,Hatton CSR,Henderson S,Taylor J,Schuh A|Robbe P,Guieze R,Clifford RM,de Guibert S,Timbs A,Dilhuydy M-S,Cabes M,Ysebaert L,Burns A,Nguyen-Khac F,Davi F,Veronese L,Combes P,Le Garff-Tavernier M,Leblond V,Merle-Beral H,Alsolami R,Weller S,Hamblin A,Mason J,Pettitt AR,Hillmen P,Taylor J,Knight SJL,Schuh A,Tournilhac O|Burns A,Weller S,Humphray S,Becq J,Alsolami R,Hamblin A,Clifford RM,Knight SJL,Robbe P,Cabes M,Mason J,Hatton CSR,Taylor J,Bentley D,Schuh A|Schuh A,Becq J,Humphray S,Alexa A,Burns A,Clifford R,Feller SM,Grocock R,Henderson S,Khrebtukova I,Kingsbury Z,Luo S,McBride D,Murray L,Menju T,Timbs A,Ross M,Taylor J,Bentley D|Clifford RM,Robbe P,Weller S,Timbs AT,Titsias M,Burns A,Cabes M,Alsolami R,Yau C,Hamblin A,Mason J,Oates M,Pettitt A,Holmes C,Hillmen P,Taylor J,Knight SJL,Schuh A|Clifford R,Louis T,Robbe P,Ackroyd S,Burns A,Timbs AT,Wright Colopy G,Dreau H,Sigaux F,Judde JG,Rotger M,Telenti A,Lin YL,Pasero P,Maelfait J,Titsias M,Cohen DR,Henderson SJ,Ross MT,Bentley D,Hillmen P,Pettitt A,Rehwinkel J,Knight SJ,Taylor JC,Crow YJ,Benkirane M,Schuh A|Taylor JC,Martin HC,Lise S,Broxholme J,Cazier JB,Rimmer A,Kanapin A,Lunter G,Fiddy S,Allan C,Aricescu AR,Attar M,Babbs C,Becq J,Beeson D,Bento C,Bignell P,Blair E,Buckle VJ,Bull K,Cais O,Cario H,Chapel H,Copley RR,Cornall R,Craft J,Dahan K,Davenport EE,Dendrou C,Devuyst O,Fenwick AL,Flint J,Fugger L,Gilbert RD,Goriely A,Green A,Greger IH,Grocock R,Gruszczyk AV,Hastings R,Hatton E,Higgs D,Hill A,Holmes C,Howard M,Hughes L,Humburg P,Johnson D,Karpe F,Kingsbury Z,Kini U,Knight JC,Krohn J,Lamble S,Langman C,Lonie L,Luck J,McCarthy D,McGowan SJ,McMullin MF,Miller KA,Murray L,Németh AH,Nesbit MA,Nutt D,Ormondroyd E,Oturai AB,Pagnamenta A,Patel SY,Percy M,Petousi N,Piazza P,Piret SE,Polanco-Echeverry G,Popitsch N,Powrie F,Pugh C,Quek L,Robbins PA,Robson K,Russo A,Sahgal N,van Schouwenburg PA,Schuh A,Silverman E,Simmons A,Sørensen PS,Sweeney E,Taylor J,Thakker RV,Tomlinson I,Trebes A,Twigg SR,Uhlig HH,Vyas P,Vyse T,Wall SA,Watkins H,Whyte MP,Witty L,Wright B,Yau C,Buck D,Humphray S,Ratcliffe PJ,Bell JI,Wilkie AO,Bentley D,Donnelly P,McVean G|Guièze R,Robbe P,Clifford R,de Guibert S,Pereira B,Timbs A,Dilhuydy MS,Cabes M,Ysebaert L,Burns A,Nguyen-Khac F,Davi F,Véronèse L,Combes P,Le Garff-Tavernier M,Leblond V,Merle-Béral H,Alsolami R,Hamblin A,Mason J,Pettitt A,Hillmen P,Taylor J,Knight SJ,Tournilhac O,Schuh A","||Adult,Aged,80 and over,Biomarkers,Tumor,Chromosome Aberrations,Clone Cells,Female,Gene Dosage,Genome,Human,Genomics,Humans,Leukemia,Lymphocytic,Chronic,B-Cell,Loss of Heterozygosity,Male,Middle Aged,Neoplasm Recurrence,Local,Oligonucleotide Array Sequence Analysis,Polymorphism,Single Nucleotide,Prognosis||||Alleles,Cell Transformation,Neoplastic,Clonal Deletion,Clone Cells,DNA Mutational Analysis,DNA,Neoplasm,Disease Progression,Evolution,Molecular,Gene Frequency,Genome-Wide Association Study,Humans,Leukemia,Lymphocytic,Chronic,B-Cell,Mutation,Neoplasm Proteins,Selection,Genetic,Sequence Analysis||Adult,Autoimmune Diseases of the Nervous System,Cohort Studies,Comparative Genomic Hybridization,DNA Damage,Gene Frequency,Germ-Line Mutation,HeLa Cells,Humans,Leukemia,Lymphocytic,Chronic,B-Cell,Male,Monomeric GTP-Binding Proteins,Nervous System Malformations,Young Adult,Hela Cells|Humans,Genetic Diseases,Inborn,Molecular Diagnostic Techniques,Sensitivity and Specificity,DNA Mutational Analysis,Base Sequence,Polymorphism,Single Nucleotide,Genome,Human,Molecular Sequence Annotation,High-Throughput Nucleotide Sequencing|Humans,Neoplasm Recurrence,Local,Ribonucleoprotein,U2 Small Nuclear,Phosphoproteins,Prognosis,Treatment Outcome,Salvage Therapy,Prospective Studies,Mutation,Tumor Suppressor Protein p53,Leukemia,Lymphocytic,Chronic,B-Cell,Kaplan-Meier Estimate,High-Throughput Nucleotide Sequencing,Ataxia Telangiectasia Mutated Proteins"
immd0282,ocms0037,1,0.1,Journal article,eLife,01/01/2013,Epigenetic conservation at gene regulatory elements revealed by non-methylated DNA profiling in seven vertebrates.,"Long HK,Sims D,Heger A,Blackledge NP,Kutter C,Wright ML,Grützner F,Odom DT,Patient R,Ponting CP,Klose RJ","Chicken,Chromatin,CpG islands,DNA methylation,Epigenetics,Evolutionary conservation,Human,Mouse,Xenopus,Zebrafish,Animals,Base Sequence,Biological Evolution,Chickens,Chromatin Assembly and Disassembly,Conserved Sequence,CpG Islands,DNA Methylation,Databases,Genetic,Epigenesis,Gene Expression Profiling,Humans,Lizards,Mice,Platypus,Promoter Regions,Species Specificity"
clme0670,engs0357,2,0.14285714285714285,Journal article|Journal article,International Journal of Cancer|International Journal of Cancer,15/06/2012|01/01/2013,G-CSF rescues tumor growth and neo-angiogenesis during liver metastasis under host angiopoietin-2 deficiency.|G-CSF rescues tumor growth and neo-angiogenesis during liver metastasis under host angiopoietin-2 deficiency,"Im JH,Tapmeier T,Balathasan L,Gal A,Yameen S,Hill S,Smart S,Noterdaeme O,Kelly M,Brady M,Fu W,Kruse K,Bernhard EJ,Augustin HG,Muschel RJ|Im JH,Tapmeier T,Balathasan L,Gal A,Yameen S,Hill S,Smart S,Noterdaeme O,Kelly M,Brady M,Fu W,Kruse K,Bernhard EJ,Augustin HG,Muschel RJ","Adenocarcinoma,Angiopoietin-2,Animals,Antigens,CD11b,CD31,Capillary Permeability,Cell Line,Tumor,Cell Proliferation,Cytokines,Female,Granulocyte Colony-Stimulating Factor,Green Fluorescent Proteins,Liver,Liver Neoplasms,Mice,Inbred C57BL,Knockout,Neoplasm Transplantation,Neoplasms,Experimental,Neovascularization,Pathologic,Neutrophils,Receptor Protein-Tyrosine Kinases,Receptor,TIE-2,Statistics,Nonparametric,Vascular Endothelial Growth Factor A|"
corp0784,immd0330,1,0.009174311926605505,Journal article,Nature Genetics,18/05/2015,Factors influencing success of clinical genome sequencing across a broad spectrum of disorders.,"Taylor JC,Martin HC,Lise S,Broxholme J,Cazier JB,Rimmer A,Kanapin A,Lunter G,Fiddy S,Allan C,Aricescu AR,Attar M,Babbs C,Becq J,Beeson D,Bento C,Bignell P,Blair E,Buckle VJ,Bull K,Cais O,Cario H,Chapel H,Copley RR,Cornall R,Craft J,Dahan K,Davenport EE,Dendrou C,Devuyst O,Fenwick AL,Flint J,Fugger L,Gilbert RD,Goriely A,Green A,Greger IH,Grocock R,Gruszczyk AV,Hastings R,Hatton E,Higgs D,Hill A,Holmes C,Howard M,Hughes L,Humburg P,Johnson D,Karpe F,Kingsbury Z,Kini U,Knight JC,Krohn J,Lamble S,Langman C,Lonie L,Luck J,McCarthy D,McGowan SJ,McMullin MF,Miller KA,Murray L,Németh AH,Nesbit MA,Nutt D,Ormondroyd E,Oturai AB,Pagnamenta A,Patel SY,Percy M,Petousi N,Piazza P,Piret SE,Polanco-Echeverry G,Popitsch N,Powrie F,Pugh C,Quek L,Robbins PA,Robson K,Russo A,Sahgal N,van Schouwenburg PA,Schuh A,Silverman E,Simmons A,Sørensen PS,Sweeney E,Taylor J,Thakker RV,Tomlinson I,Trebes A,Twigg SR,Uhlig HH,Vyas P,Vyse T,Wall SA,Watkins H,Whyte MP,Witty L,Wright B,Yau C,Buck D,Humphray S,Ratcliffe PJ,Bell JI,Wilkie AO,Bentley D,Donnelly P,McVean G","Humans,Genetic Diseases,Inborn,Molecular Diagnostic Techniques,Sensitivity and Specificity,DNA Mutational Analysis,Base Sequence,Polymorphism,Single Nucleotide,Genome,Human,Molecular Sequence Annotation,High-Throughput Nucleotide Sequencing"
